,img,msrp,model,Number of speeds,Horse Power,Fuel tank capacity,City,Highway,Total Seating Capacity,Recommended fuel,Overall height,Overall Length,Overall Width,Wheelbase
2018 Audi A5 - (S tronic) quattro Coupe,img.autobytel.com/2018/audi/a5/2-550-oemexteriorfront1300-83309.jpg,"42,800",2018 Audi A5,7,252,15.3,24,34,4,Premium Unleaded,54.0,184.0,72.7,108.8
2018 Audi A5 - (M6) quattro Coupe,img.autobytel.com/2018/audi/a5/2-550-oemexteriorfront1300-83376.jpg,"42,800",2018 Audi A5,6,252,15.3,24,33,4,Premium Unleaded,54.0,184.0,72.7,108.8
2018 Audi A5 - quattro Cabriolet,img.autobytel.com/2018/audi/a5/2-550-oemexteriorfront1300-83377.jpg,"49,600",2018 Audi A5,7,252,15.3,24,34,4,Premium Unleaded,54.4,184.0,72.7,108.9
2018 Audi A5 - quattro Sportback,img.autobytel.com/2018/audi/a5/2-550-oemexteriorfront1300-83378.jpg,"42,600",2018 Audi A5,7,252,15.3,24,34,5,Premium Unleaded,54.6,186.3,72.6,111.2
2017 Audi A5 - (M6) quattro Coupe,img.autobytel.com/2017/audi/a5/2-550-oemexteriorfront1300-80676.jpg,"41,200",2017 Audi A5,6,220,16.1,23,32,4,Premium Unleaded,54.0,182.1,73.0,108.3
2017 Audi A5 - (Tiptronic) quattro Coupe,img.autobytel.com/2017/audi/a5/2-550-oemexteriorfront1300-80677.jpg,"42,200",2017 Audi A5,8,220,16.1,22,30,4,Premium Unleaded,54.0,182.1,73.0,108.3
2017 Audi A5 - quattro Cabriolet,img.autobytel.com/2017/audi/a5/2-550-oemexterior3/4frontrightfacing1308-80678.jpg,"48,600",2017 Audi A5,8,220,16.1,21,29,4,Premium Unleaded,54.4,182.1,73.0,108.3
2016 Audi A5 - (M6) quattro Coupe,img.autobytel.com/2016/audi/a5/2-550-threequartersview101-77066.jpg,"40,500",2016 Audi A5,,,16.1,,,,Premium Unleaded,,,,"2,751mm (108.3"
2016 Audi A5 - (Tiptronic) quattro Coupe,img.autobytel.com/2016/audi/a5/2-550-threequartersview101-77067.jpg,"41,500",2016 Audi A5,,,16.1,,,,Premium Unleaded,,,,"2,751mm (108.3"
2016 Audi A5 - quattro Cabriolet,img.autobytel.com/2016/audi/a5/2-550-threequartersview101-77068.jpg,"47,900",2016 Audi A5,,,16.1,,,,Premium Unleaded,,,,"2,751mm (108.3"
2015 Audi A5 - (M6) quattro Coupe,img.autobytel.com/2015/audi/a5/3-550-060314%20audi%20a5%202015-74208.jpg,"40,000",2015 Audi A5,6,220,16.1,22,32,4,Premium Unleaded,54.0,182.1,73.0,108.3
2015 Audi A5 - quattro Coupe,img.autobytel.com/2015/audi/a5/3-550-060314%20audi%20a5%202015-74209.jpg,"41,200",2015 Audi A5,8,220,16.1,22,31,4,Premium Unleaded,54.0,182.1,73.0,108.3
2015 Audi A5 - quattro Cabriolet,img.autobytel.com/2015/audi/a5/3-550-060314%20audi%20a5%202015-74210.jpg,"47,600",2015 Audi A5,8,220,16.1,21,29,4,Premium Unleaded,54.4,182.1,73.0,108.3
2014 Audi A5 - (M6) quattro quattro Coupe,img.autobytel.com/2014/audi/a5/3-550-060314%20audi%20a5%202014-71454.jpg,"39,000",2014 Audi A5,6,220,16.1,22,32,4,Premium Unleaded,54.0,182.1,73.0,108.3
2014 Audi A5 - quattro quattro Coupe,img.autobytel.com/2014/audi/a5/3-550-060314%20audi%20a5%202014-71455.jpg,"40,200",2014 Audi A5,8,220,16.1,20,29,4,Premium Unleaded,54.0,182.1,73.0,108.3
2014 Audi A5 - Premium FrontTrak FrontTrak Cabriolet,img.autobytel.com/2014/audi/a5/3-550-060314%20audi%20a5%202014-71456.jpg,"44,500",2014 Audi A5,Continuously variable,220,16.1,24,32,4,Premium Unleaded,54.4,182.1,73.0,108.3
2014 Audi A5 - Premium quattro quattro Cabriolet,img.autobytel.com/2014/audi/a5/3-550-060314%20audi%20a5%202014-71457.jpg,"46,600",2014 Audi A5,8,220,16.1,20,29,4,Premium Unleaded,54.4,182.1,73.0,108.3
2013 Audi A5 - Premium (M6) quattro quattro Coupe,img.autobytel.com/2013/audi/a5/2-550-oemexteriorfront-68408.jpg,"37,850",2013 Audi A5,6,211,16.1,22,32,4,Premium Unleaded,54.0,182.1,73.0,108.3
2013 Audi A5 - Premium quattro quattro Coupe,img.autobytel.com/2013/audi/a5/2-550-oemexteriorfront-68409.jpg,"39,050",2013 Audi A5,8,211,16.1,20,30,4,Premium Unleaded,54.0,182.1,73.0,108.3
2013 Audi A5 - Premium FrontTrak FrontTrak Cabriolet,img.autobytel.com/2013/audi/a5/2-550-oemexteriorfront-68410.jpg,"43,350",2013 Audi A5,Continuously variable,211,16.1,24,31,4,Premium Unleaded,54.4,182.1,73.0,108.3
2013 Audi A5 - Premium quattro quattro Cabriolet,img.autobytel.com/2013/audi/a5/2-550-oemexteriorfront-68411.jpg,"45,450",2013 Audi A5,8,211,16.1,20,30,4,Premium Unleaded,54.4,182.1,73.0,108.3
2012 Audi A5 - Premium (M6) quattro quattro Coupe,img.autobytel.com/2012/audi/a5/2-550-oemexteriorfront-66353.jpg,"37,100",2012 Audi A5,6,211,16.9,21,31,4,Premium Unleaded,54.0,182.1,73.0,108.3
2012 Audi A5 - Premium (Tiptronic) quattro quattro Coupe,img.autobytel.com/2012/audi/a5/2-550-oemexteriorfront-66354.jpg,"38,300",2012 Audi A5,8,211,16.9,21,29,4,Premium Unleaded,54.0,182.1,73.0,108.3
2012 Audi A5 - Premium (Multitronic) FrontTrak FrontTrak Cabriole,img.autobytel.com/2012/audi/a5/2-550-oemexteriorfront-66355.jpg,"42,600",2012 Audi A5,Continuously variable,211,16.9,22,30,4,Premium Unleaded,54.4,182.1,72.9,108.3
2012 Audi A5 - Premium (Tiptronic) quattro quattro Cabriolet,img.autobytel.com/2012/audi/a5/2-550-oemexteriorfront-66356.jpg,"44,700",2012 Audi A5,8,211,16.9,21,29,4,Premium Unleaded,54.4,182.1,72.9,108.3
2011 Audi A5 - (M6) quattro quattro Coupe,img.autobytel.com/2011/audi/a5/2-550-oemexteriorfront-63810.jpg,"36,900",2011 Audi A5,6,211,17.2,21,31,4,Premium Unleaded,54.0,182.1,73.0,108.3
2011 Audi A5 - quattro quattro Coupe,img.autobytel.com/2011/audi/a5/2-550-oemexteriorfront-63811.jpg,"38,200",2011 Audi A5,8,211,17.2,21,29,4,Premium Unleaded,54.0,182.1,73.0,108.3
2011 Audi A5 - FrontTrak FrontTrak Cabriolet,img.autobytel.com/2011/audi/a5/2-550-oemexteriorfront-63812.jpg,"42,450",2011 Audi A5,Continuously variable,211,16.9,22,30,4,Premium Unleaded,54.5,182.1,73.0,108.3
2011 Audi A5 - quattro quattro Cabriolet,img.autobytel.com/2011/audi/a5/2-550-oemexteriorfront-63813.jpg,"44,650",2011 Audi A5,8,211,16.9,21,29,4,Premium Unleaded,54.5,182.1,73.0,108.3
2010 Audi A5 - 2.0T (M6) quattro quattro Coupe,img.autobytel.com/2010/audi/a5/2-550-oemexteriorfront-53156.jpg,"36,000",2010 Audi A5,6,211,17.2,22,30,4,Premium Unleaded,54.0,182.1,73.0,108.3
2010 Audi A5 - 2.0T quattro quattro Coupe,img.autobytel.com/2010/audi/a5/2-550-oemexteriorfront-53157.jpg,"37,200",2010 Audi A5,,,17.2,,,,premium unleaded,,,,"2,751mm (108.3"
2010 Audi A5 - 3.2 Plus quattro quattro Coupe,img.autobytel.com/2010/audi/a5/2-550-oemexteriorfront-53158.jpg,"44,000",2010 Audi A5,6,265,16.9,18,27,4,Premium Unleaded,54.0,182.1,73.0,108.3
2010 Audi A5 - FrontTrak FrontTrak Cabriolet,img.autobytel.com/2010/audi/a5/2-550-oemexteriorfront-61424.jpg,"42,000",2010 Audi A5,Continuously variable,211,16.9,23,30,4,Premium Unleaded,54.5,182.1,73.0,108.3
2010 Audi A5 - quattro quattro Cabriolet,img.autobytel.com/2010/audi/a5/2-550-oemexteriorfront-61425.jpg,"44,100",2010 Audi A5,6,211,16.9,20,26,4,Premium Unleaded,54.5,182.1,73.0,108.3
2009 Audi A5 - (M6),img.autobytel.com/2009/audi/a5/2-550-oemexteriorfront-49802.jpg,"40,700",2009 Audi A5,6,265,16.9,16,27,4,Premium Unleaded,54.0,182.1,73.0,108.3
2009 Audi A5 - (A6),img.autobytel.com/2009/audi/a5/2-550-oemexteriorfront-49805.jpg,"42,000",2009 Audi A5,6,265,16.9,17,26,4,Premium Unleaded,54.0,182.1,73.0,108.3
2008 Audi A5 - (M6),img.autobytel.com/2008/audi/a5/2-550-threequartersview-46633.jpg,"39,900",2008 Audi A5,6,265,16.9,16,27,4,Premium Unleaded,54.0,182.1,73.0,108.3
2008 Audi A5 - (A6),img.autobytel.com/2008/audi/a5/2-550-threequartersview-46638.jpg,"41,200",2008 Audi A5,6,265,16.9,18,27,4,Premium Unleaded,54.0,182.1,73.0,108.3
2023 Audi S4 - 3.0T Premium,img.autobytel.com/2023/audi/s4/2-550-oem-exterior-front1300-100584.jpg,"52,800",2023 Audi S4,8,349,15.3,21,30,5,Premium Unleaded,56.2,187.5,72.7,111.0
2022 Audi S4 - 3.0T Premium,img.autobytel.com/2022/audi/s4/2-550-oem-exterior-front1300-97740.jpg,"51,900",2022 Audi S4,8,349,15.3,21,30,5,Premium Unleaded,56.2,187.5,72.7,111.0
2021 Audi S4 - 3.0T Premium,img.autobytel.com/2021/audi/s4/2-550-oemexteriorfront1300-93900.JPG,"49,900",2021 Audi S4,8,349,15.3,20,28,5,Premium Unleaded,56.2,187.5,72.7,111.0
2020 Audi S4 - 3.0T Premium,img.autobytel.com/2020/audi/s4/2-550-oemexteriorfront1300-93646.JPG,"49,900",2020 Audi S4,8,349,15.3,20,27,5,Premium Unleaded,56.2,187.5,72.7,111.0
2019 Audi S4 - 3.0T Premium,img.autobytel.com/2019/audi/s4/2-550-oemexteriorfront1300-89876.jpg,"50,200",2019 Audi S4,8,349,15.3,21,30,5,Premium Unleaded,55.3,186.8,72.5,111.2
2018 Audi S4 - 3.0T Premium Plus,img.autobytel.com/2018/audi/s4/2-550-oemexteriorfront1300-83305.jpg,"51,400",2018 Audi S4,8,354,15.3,21,30,5,Premium Unleaded,55.3,186.8,72.5,111.2
2016 Audi S4 - (M6),img.autobytel.com/2016/audi/s4/2-550-oemexteriorfront1300-77054.jpg,"49,200",2016 Audi S4,,,16.1,,,,Premium Unleaded,,,,"2,812mm (110.7"
2016 Audi S4 - (S tronic),img.autobytel.com/2016/audi/s4/2-550-oemexteriorfront1300-77055.jpg,"50,200",2016 Audi S4,,,16.1,,,,Premium Unleaded,,,,"2,812mm (110.7"
2015 Audi S4 - (M6),img.autobytel.com/2015/audi/s4/3-550-091614%202015%20audi%20s4-74202.jpg,"48,400",2015 Audi S4,6,333,16.1,17,26,5,Premium Unleaded,55.4,185.7,71.9,110.7
2015 Audi S4 - 3.0T Premium Plus (S tronic),img.autobytel.com/2015/audi/s4/3-550-091614%202015%20audi%20s4-74203.jpg,"49,800",2015 Audi S4,7,333,16.1,18,28,5,Premium Unleaded,55.4,185.7,71.9,110.7
2014 Audi S4 - (M6),img.autobytel.com/2014/audi/s4/2-550-oemexteriorfront-71271.jpg,"48,100",2014 Audi S4,6,333,16.1,17,26,5,Premium Unleaded,55.4,185.7,71.9,110.7
2014 Audi S4 - Base,img.autobytel.com/2014/audi/s4/2-550-oemexteriorfront-71272.jpg,"49,500",2014 Audi S4,7,333,16.1,18,28,5,Premium Unleaded,55.4,185.7,71.9,110.7
2013 Audi S4 - Premium Plus (M6),img.autobytel.com/2013/audi/s4/2-550-oemexteriorfront-68403.jpg,"47,600",2013 Audi S4,6,333,16.1,17,26,5,Premium Unleaded,55.4,185.7,71.9,110.7
2013 Audi S4 - Premium Plus,img.autobytel.com/2013/audi/s4/2-550-oemexteriorfront-68404.jpg,"49,000",2013 Audi S4,7,333,16.1,18,28,5,Premium Unleaded,55.4,185.7,71.9,110.7
2012 Audi S4 - Premium Plus (M6),img.autobytel.com/2012/audi/s4/2-550-oemexteriorfront-66332.jpg,"47,300",2012 Audi S4,6,333,16.9,18,27,5,Premium Unleaded,55.4,185.7,71.9,110.7
2012 Audi S4 - Premium Plus,img.autobytel.com/2012/audi/s4/2-550-oemexteriorfront-66333.jpg,"48,700",2012 Audi S4,7,333,16.9,18,28,5,Premium Unleaded,55.4,185.7,71.9,110.7
2011 Audi S4 - (M6),img.autobytel.com/2011/audi/s4/2-550-oemexteriorfront-63799.jpg,"47,100",2011 Audi S4,6,333,16.9,18,27,5,Premium Unleaded,56.2,185.2,71.9,110.6
2011 Audi S4 - Base,img.autobytel.com/2011/audi/s4/2-550-oemexteriorfront-63800.jpg,"48,500",2011 Audi S4,7,333,16.9,18,28,5,Premium Unleaded,56.2,185.2,71.9,110.6
2010 Audi S4 - (M6),img.autobytel.com/2010/audi/s4/2-550-oemexteriorfront-61416.jpg,"45,900",2010 Audi S4,6,333,16.9,18,27,5,Premium Unleaded,56.2,185.2,71.9,110.6
2010 Audi S4 - Base,img.autobytel.com/2010/audi/s4/2-550-oemexteriorfront-61417.jpg,"47,300",2010 Audi S4,,,16.9,,,,premium unleaded,,,,"2,809mm (110.6"
2009 Audi S4 - (M6),img.autobytel.com/2009/audi/s4/2-550-oemexteriorfront-49800.jpg,"57,125",2009 Audi S4,6,340,16.6,13,19,4,Premium Unleaded,54.8,180.0,70.0,104.5
2009 Audi S4 - (A6),img.autobytel.com/2009/audi/s4/2-550-oemexteriorfront-49801.jpg,"58,325",2009 Audi S4,6,340,16.6,14,21,4,Premium Unleaded,54.8,180.0,70.0,104.5
2008 Audi S4 - (M6) quattro Station Wagon,img.autobytel.com/2008/audi/s4/2-550-oemexteriorfront-45611.jpg,"49,610",2008 Audi S4,6,340,16.6,13,20,5,Premium Unleaded,55.7,180.6,70.1,104.3
2008 Audi S4 - (A6) quattro Station Wagon,img.autobytel.com/2008/audi/s4/2-550-oemexteriorfront-45612.jpg,"50,710",2008 Audi S4,6,340,16.6,14,21,5,Premium Unleaded,55.7,180.6,70.1,104.3
2008 Audi S4 - (M6) quattro Cabriolet,img.autobytel.com/2008/audi/s4/2-550-oemexteriorfront-45613.jpg,"56,775",2008 Audi S4,6,340,16.6,14,21,4,Premium Unleaded,54.8,180.0,70.0,104.5
2008 Audi S4 - (A6) quattro Cabriolet,img.autobytel.com/2008/audi/s4/2-550-oemexteriorfront-45614.jpg,"57,975",2008 Audi S4,6,340,16.6,15,23,4,Premium Unleaded,54.8,180.0,70.0,104.5
2008 Audi S4 - (M6) quattro Sedan,img.autobytel.com/2008/audi/s4/2-550-oemexteriorfront-45651.jpg,"48,610",2008 Audi S4,6,340,16.6,13,20,5,Premium Unleaded,55.7,180.6,70.1,104.3
2008 Audi S4 - (A6) quattro Sedan,img.autobytel.com/2008/audi/s4/2-550-oemexteriorfront-45659.jpg,"49,710",2008 Audi S4,6,340,16.6,14,21,5,Premium Unleaded,55.7,180.6,70.1,104.3
2007 Audi S4 - (M6) quattro Station Wagon w/o Heated Seats,img.autobytel.com/2007/audi/s4/2-550-oemexteriorfront-42889.jpg,"48,500",2007 Audi S4,6,340,16.6,15,21,5,Premium Unleaded,55.7,180.6,70.1,104.3
2007 Audi S4 - (A6) quattro Station Wagon w/o Heated Seats,img.autobytel.com/2007/audi/s4/2-550-oemexteriorfront-42890.jpg,"49,700",2007 Audi S4,6,340,16.6,15,23,5,Premium Unleaded,55.7,180.6,70.1,104.3
2007 Audi S4 - (M6) quattro Sedan w/Heated Seats,img.autobytel.com/2007/audi/s4/2-550-threequartersview-42909.jpg,"47,500",2007 Audi S4,6,340,16.6,15,21,5,Premium Unleaded,55.7,180.6,70.1,104.3
2007 Audi S4 - (A6) quattro Sedan w/Heated Seats,img.autobytel.com/2007/audi/s4/2-550-threequartersview-42911.jpg,"48,700",2007 Audi S4,6,340,16.6,15,23,5,Premium Unleaded,55.7,180.6,70.1,104.3
2007 Audi S4 - (M6) quattro Cabriolet w/o Heated Seats,img.autobytel.com/2007/audi/s4/2-550-oemexteriorfront-42976.jpg,"55,700",2007 Audi S4,6,340,16.6,14,21,4,Premium Unleaded,54.8,180.0,70.0,104.5
2007 Audi S4 - (A6) quattro Cabriolet w/o Heated Seats,img.autobytel.com/2007/audi/s4/2-550-oemexteriorfront-42977.jpg,"56,900",2007 Audi S4,6,340,16.6,15,23,4,Premium Unleaded,54.8,180.0,70.0,104.5
2007 Audi S4 - (M6) quattro Station Wagon w/Heated Seats,img.autobytel.com/2007/audi/s4/2-550-oemexteriorfront-60340.jpg,"48,500",2007 Audi S4,6,340,16.6,15,21,5,Premium Unleaded,55.7,180.6,70.1,104.3
2007 Audi S4 - (A6) quattro Station Wagon w/Heated Seats,img.autobytel.com/2007/audi/s4/2-550-oemexteriorfront-60341.jpg,"49,700",2007 Audi S4,6,340,16.6,15,23,5,Premium Unleaded,55.7,180.6,70.1,104.3
2007 Audi S4 - (M6) quattro Sedan w/o Heated Seats,img.autobytel.com/2007/audi/s4/2-550-oemexteriorfront-62918.jpg,"47,500",2007 Audi S4,6,340,16.6,15,21,5,Premium Unleaded,55.7,180.6,70.1,104.3
2007 Audi S4 - (A6) quattro Sedan w/o Heated Seats,img.autobytel.com/2007/audi/s4/2-550-oemexteriorfront-62919.jpg,"48,700",2007 Audi S4,6,340,16.6,15,23,5,Premium Unleaded,55.7,180.6,70.1,104.3
2006 Audi S4 - (M6) Quattro Station Wagon,img.autobytel.com/2006/audi/s4/2-550-threequartersview-40444.jpg,"47,400",2006 Audi S4,6,340,16.6,15,21,5,Premium Unleaded,55.7,180.6,70.1,104.3
2006 Audi S4 - (A6) Quattro Station Wagon,img.autobytel.com/2006/audi/s4/2-550-threequartersview-40445.jpg,"48,600",2006 Audi S4,,,16.6,,,,premium unleaded,,,,"2,649mm (104.3"
2006 Audi S4 - (M6) Quattro Cabriolet,img.autobytel.com/2006/audi/s4/2-550-oemexteriorfront-40450.jpg,"54,640",2006 Audi S4,6,340,16.6,15,21,4,Premium Unleaded,54.8,180.0,70.0,104.5
2006 Audi S4 - (A6) Quattro Cabriolet,img.autobytel.com/2006/audi/s4/2-550-oemexteriorfront-40451.jpg,"55,840",2006 Audi S4,,,16.6,,,,premium unleaded,,,,"2,654mm (104.5"
2006 Audi S4 - (M6) Quattro Sedan,img.autobytel.com/2006/audi/s4/2-550-oemexteriorfront-40498.jpg,"46,400",2006 Audi S4,6,340,16.6,15,21,5,Premium Unleaded,55.7,180.6,70.1,104.3
2006 Audi S4 - (A6) Quattro Sedan,img.autobytel.com/2006/audi/s4/2-550-oemexteriorfront-40501.jpg,"47,600",2006 Audi S4,,,16.6,,,,premium unleaded,,,,"2,649mm (104.3"
2006 Audi S4 - 25quattro Special Edition (M6) Quattro Sedan,img.autobytel.com/2006/audi/s4/2-550-oemexteriorfront-41429.jpg,"60,250",2006 Audi S4,6,340,16.6,15,21,5,Premium Unleaded,55.7,180.6,70.1,104.3
2005 Audi S4 - (A6) Quattro Cabriolet,img.autobytel.com/2005/audi/s4/2-550-oemexteriorfront-37978.jpg,"55,150",2005 Audi S4,,,16.6,,,,premium unleaded,,,,"2,654mm (104.5"
2005 Audi S4 - (M6) Quattro Cabriolet,img.autobytel.com/2005/audi/s4/2-550-oemexteriorfront-37990.jpg,"53,950",2005 Audi S4,6,340,16.6,15,21,4,Premium Unleaded,54.8,180.0,70.0,104.5
2005 Audi S4 - (New) (M6) Quattro Station Wagon,img.autobytel.com/2005/audi/s4/2-550-oemexteriorview-39392.jpg,"47,100",2005 Audi S4,6,340,17.4,15,21,5,Premium Unleaded,55.7,180.6,70.1,104.3
2005 Audi S4 - (New) (A6) Quattro Station Wagon,img.autobytel.com/2005/audi/s4/2-550-oemexteriorview-39393.jpg,"48,300",2005 Audi S4,,,17.4,,,,premium unleaded,,,,"2,649mm (104.3"
2005 Audi S4 - (New) (M6) Quattro Sedan,img.autobytel.com/2005/audi/s4/2-550-oemexteriorview-39402.jpg,"46,100",2005 Audi S4,6,340,17.4,15,21,5,Premium Unleaded,55.7,180.6,70.1,104.3
2005 Audi S4 - (New) (A6) Quattro Sedan,img.autobytel.com/2005/audi/s4/2-550-oemexteriorview-39403.jpg,"47,300",2005 Audi S4,,,17.4,,,,premium unleaded,,,,"2,649mm (104.3"
2005 Audi S4 - (M6) Quattro Sedan,img.autobytel.com/2005/audi/s4/2-550-oemexteriorfront-59542.jpg,"45,850",2005 Audi S4,6,340,17.4,15,21,5,Premium Unleaded,56.2,179.0,69.5,104.3
2005 Audi S4 - (A6) Quattro Sedan,img.autobytel.com/2005/audi/s4/2-550-oemexteriorfront-59543.jpg,"47,050",2005 Audi S4,,,17.4,,,,premium unleaded,,,,"2,649mm (104.3"
2005 Audi S4 - (M6) Quattro Station Wagon,img.autobytel.com/2005/audi/s4/2-550-oemexteriorfront-59544.jpg,"46,850",2005 Audi S4,6,340,17.4,15,21,5,Premium Unleaded,57.2,179.0,69.5,104.3
2005 Audi S4 - (A6) Quattro Station Wagon,img.autobytel.com/2005/audi/s4/2-550-oemexteriorfront-59545.jpg,"48,050",2005 Audi S4,,,17.4,,,,premium unleaded,,,,"2,649mm (104.3"
2004 Audi S4 - (M6) Quattro Sedan,img.autobytel.com/2004/audi/s4/2-550-oemexteriorfront-32494.jpg,"45,650",2004 Audi S4,6,340,17.4,15,21,5,Premium Unleaded,56.2,179.0,69.5,104.3
2004 Audi S4 - (A6) Quattro Sedan,img.autobytel.com/2004/audi/s4/2-550-oemexteriorfront-32495.jpg,"46,800",2004 Audi S4,,,17.4,,,,premium unleaded,,,,"2,649mm (104.3"
2004 Audi S4 - (M6) Quattro Station Wagon,img.autobytel.com/2004/audi/s4/2-550-oemexteriorfront-32496.jpg,"46,650",2004 Audi S4,6,340,17.4,15,21,5,Premium Unleaded,57.2,179.0,69.5,104.3
2004 Audi S4 - (A6) Quattro Station Wagon,img.autobytel.com/2004/audi/s4/2-550-oemexteriorfront-32497.jpg,"47,800",2004 Audi S4,,,17.4,,,,premium unleaded,,,,"2,649mm (104.3"
2004 Audi S4 - (M6) Quattro Cabriolet,img.autobytel.com/2004/audi/s4/2-550-oemexteriorfront-37048.jpg,"53,850",2004 Audi S4,6,340,16.6,15,21,4,Premium Unleaded,54.8,180.0,70.0,104.5
2004 Audi S4 - (A6) Quattro Cabriolet,img.autobytel.com/2004/audi/s4/2-550-oemexteriorfront-37051.jpg,"55,000",2004 Audi S4,,,16.6,,,,premium unleaded,,,,"2,654mm (104.5"
2002 Audi S4 - (M6) Quattro Sedan,img.autobytel.com/2002/audi/s4/2-550-oemexteriorview-24083.jpg,"38,900",2002 Audi S4,6,250,16.4,17,23,5,Premium Unleaded,54.9,176.7,72.7,102.6
2002 Audi S4 - (A5) Quattro Sedan,img.autobytel.com/2002/audi/s4/2-550-oemexteriorview-24084.jpg,"38,900",2002 Audi S4,,,16.4,,,,premium unleaded,,,,"2,606mm (102.6"
2002 Audi S4 - (M6) AWD Quattro Station Wagon,img.autobytel.com/2002/audi/s4/2-550-oemexteriorview-24085.jpg,"40,500",2002 Audi S4,6,250,16.4,17,23,5,Premium Unleaded,55.8,176.7,72.7,102.6
2002 Audi S4 - (A5) AWD Quattro Station Wagon,img.autobytel.com/2002/audi/s4/2-550-oemexteriorview-24086.jpg,"40,500",2002 Audi S4,,,16.4,,,,premium unleaded,,,,"2,606mm (102.6"
2001 Audi S4 - (A5) Quattro Sedan,img.autobytel.com/2001/audi/s4/2-550-oemexteriorview-56664.jpg,"38,900",2001 Audi S4,5,250,16.4,17,24,5,Premium Unleaded,54.9,176.7,72.7,102.6
2001 Audi S4 - (M6) Quattro Sedan,img.autobytel.com/2001/audi/s4/2-550-oemexteriorview-56665.jpg,"38,900",2001 Audi S4,,,16.4,,,,premium unleaded,,,,"2,606mm (102.6"
2001 Audi S4 - (A5) AWD Quattro Station Wagon,img.autobytel.com/2001/audi/s4/2-550-oemexteriorview-56666.jpg,"40,500",2001 Audi S4,5,250,16.4,17,24,5,Premium Unleaded,55.8,176.7,72.7,102.6
2001 Audi S4 - (M6) AWD Quattro Station Wagon,img.autobytel.com/2001/audi/s4/2-550-oemexteriorview-56667.jpg,"40,500",2001 Audi S4,,,16.4,,,,premium unleaded,,,,"2,606mm (102.6"
2000 Audi S4 - (A5),img.autobytel.com/2000/audi/s4/2-550-oemexteriorview-55159.jpg,"37,900",2000 Audi S4,5,250,16.4,17,24,5,Premium Unleaded,55.8,176.5,72.8,102.6
2000 Audi S4 - (M6),img.autobytel.com/2000/audi/s4/2-550-oemexteriorview-55160.jpg,"37,900",2000 Audi S4,,,16.4,,,,premium unleaded,,,,"2,606mm (102.6"
2023 Audi Q7 - 45,img.autobytel.com/2023/audi/q7/2-550-oem-exterior-front1300-100614.jpg,"59,200",2023 Audi Q7,8,261,22.5,19,25,7,Premium Unleaded,68.5,199.3,77.6,117.9
2023 Audi Q7 - 55,img.autobytel.com/2023/audi/q7/2-550-oem-exterior-front1300-100615.jpg,"64,800",2023 Audi Q7,8,335,22.5,18,22,7,Premium Unleaded,68.5,199.3,77.6,117.9
2022 Audi Q7 - 45,img.autobytel.com/2022/audi/q7/2-550-oem-exterior-front1300-97767.jpg,"57,500",2022 Audi Q7,8,248,22.5,20,25,7,Premium Unleaded,68.5,199.3,77.6,117.9
2022 Audi Q7 - 55,img.autobytel.com/2022/audi/q7/2-550-oem-exterior-front1300-97768.jpg,"62,500",2022 Audi Q7,8,335,22.5,18,23,7,Premium Unleaded,68.5,199.3,77.6,117.9
2021 Audi Q7 - 45,img.autobytel.com/2021/audi/q7/2-550-oemexteriorfront1300-93911.JPG,"54,950",2021 Audi Q7,8,248,22.5,19,23,7,Premium Unleaded,68.5,199.3,77.6,117.9
2021 Audi Q7 - 55,img.autobytel.com/2021/audi/q7/2-550-oemexteriorfront1300-93912.JPG,"60,800",2021 Audi Q7,8,335,22.5,18,23,7,Premium Unleaded,68.5,199.3,77.6,117.9
2020 Audi Q7 - 45,img.autobytel.com/2020/audi/q7/2-550-oemexteriorfront1300-93806.JPG,"54,800",2020 Audi Q7,8,248,19.8,19,23,7,Premium Unleaded,68.5,199.3,77.6,117.9
2020 Audi Q7 - 55,img.autobytel.com/2020/audi/q7/2-550-oemexteriorfront1300-93807.JPG,"60,800",2020 Audi Q7,8,335,22.5,17,21,7,Premium Unleaded,68.5,199.3,77.6,117.9
2019 Audi Q7 - 55,img.autobytel.com/2019/audi/q7/2-550-oemexteriorfront1300-89481.jpg,"59,950",2019 Audi Q7,8,329,22.5,19,25,7,Premium Unleaded,68.5,199.6,77.5,117.9
2019 Audi Q7 - 45,img.autobytel.com/2019/audi/q7/2-550-oemexteriorfront1300-89774.jpg,"53,550",2019 Audi Q7,8,248,22.5,19,25,7,Premium Unleaded,68.5,199.6,77.5,117.9
2019 Audi Q7 - 45 SE,img.autobytel.com/2019/audi/q7/2-550-oemexteriorfront1300-90656.jpg,"55,850",2019 Audi Q7,8,248,22.5,19,25,7,Premium Unleaded,68.5,199.6,77.5,117.9
2019 Audi Q7 - 55 SE,img.autobytel.com/2019/audi/q7/2-550-oemexteriorfront1300-90657.jpg,"62,250",2019 Audi Q7,8,329,22.5,19,25,7,Premium Unleaded,68.5,199.6,77.5,117.9
2018 Audi Q7 - 2.0T,img.autobytel.com/2018/audi/q7/2-550-oemexteriorfront1300-83723.jpg,"49,900",2018 Audi Q7,8,252,22.5,19,25,7,Premium Unleaded,68.5,199.6,77.5,117.9
2018 Audi Q7 - 3.0T,img.autobytel.com/2018/audi/q7/2-550-oemexteriorfront1300-83724.jpg,"56,400",2018 Audi Q7,8,333,22.5,19,25,7,Premium Unleaded,68.5,199.6,77.5,117.9
