,img,msrp,model,Number of speeds,Horse Power,Fuel tank capacity,City,Highway,Total Seating Capacity,Recommended fuel,Overall height,Overall Length,Overall Width,Wheelbase
2022 Audi RS 5 - quattro Sportback,img.autobytel.com/2022/audi/rs-5/2-550-oem-exterior-front1300-97760.jpg,"76,200",2022 Audi RS 5,8,444,15.3,18,25,5,Premium Unleaded,55.1,188.3,73.5,111.3
2021 Audi RS 5 - quattro Coupe,img.autobytel.com/2021/audi/rs-5/2-550-oem-exterior-front1300-96181.jpg,"75,100",2021 Audi RS 5,8,444,15.3,18,25,4,Premium Unleaded,54.0,186.0,73.5,108.9
2021 Audi RS 5 - quattro Sportback,img.autobytel.com/2021/audi/rs-5/2-550-oem-exterior-front1300-96182.jpg,"75,400",2021 Audi RS 5,8,444,15.3,18,25,5,Premium Unleaded,55.1,188.3,73.5,111.3
2019 Audi RS 5 - quattro Coupe,img.autobytel.com/2019/audi/rs-5/2-550-oemexteriorfront1300-89670.jpg,"74,200",2019 Audi RS 5,8,444,15.3,18,27,4,Premium Unleaded,53.5,186.0,73.4,108.9
2019 Audi RS 5 - quattro Sportback,img.autobytel.com/2019/audi/rs-5/2-550-oemexteriorfront1300-89671.jpg,"74,200",2019 Audi RS 5,8,444,15.3,17,26,5,Premium Unleaded,54.6,188.3,79.9,111.2
2018 Audi RS 5 - 2.9T,img.autobytel.com/2018/audi/rs-5/2-550-oemexteriorfront1300-86847.jpg,"69,900",2018 Audi RS 5,8,444,15.3,18,26,4,Premium Unleaded,53.5,185.9,73.4,108.9
2015 Audi RS 5 - quattro Coupe,img.autobytel.com/2015/audi/rs-5/3-550-091614%202015%20audi%20rs5-74246.jpg,"70,900",2015 Audi RS 5,7,450,16.1,16,23,4,Premium Unleaded,53.8,183.0,73.2,108.3
2015 Audi RS 5 - quattro Cabriolet,img.autobytel.com/2015/audi/rs-5/3-550-091614%202015%20audi%20rs5-74247.jpg,"79,200",2015 Audi RS 5,7,450,16.1,16,22,4,Premium Unleaded,54.4,182.1,73.0,108.3
2014 Audi RS 5 - quattro Coupe,img.autobytel.com/2014/audi/rs-5/2-550-threequartersview-71458.jpg,"69,600",2014 Audi RS 5,7,450,16.1,16,23,4,Premium Unleaded,53.8,183.0,73.2,108.3
2014 Audi RS 5 - quattro Cabriolet,img.autobytel.com/2014/audi/rs-5/2-550-oemexteriorfront-71459.jpg,"77,900",2014 Audi RS 5,7,450,16.1,16,22,4,Premium Unleaded,54.4,182.1,73.0,108.3
2013 Audi RS 5 - quattro Coupe,img.autobytel.com/2013/audi/rs-5/2-550-oemexteriorfront-68412.jpg,"68,900",2013 Audi RS 5,7,450,16.1,16,23,4,Premium Unleaded,53.8,183.0,73.2,108.3
2013 Audi RS 5 - quattro Cabriolet,img.autobytel.com/2013/audi/rs-5/2-550-oemexteriorfront-70588.jpg,"77,900",2013 Audi RS 5,7,450,16.1,16,22,4,Premium Unleaded,54.4,182.1,73.0,108.3
2023 Audi Q3 - 40,img.autobytel.com/550-no-img-avail.jpg,"36,800",2023 Audi Q3,8,184,15.9,23,30,5,Regular Unleaded,62.9,176.6,72.8,105.5
2023 Audi Q3 - 45 S line,img.autobytel.com/550-no-img-avail.jpg,"39,200",2023 Audi Q3,8,228,15.9,21,28,5,Regular Unleaded,62.9,176.6,72.8,105.5
