,msrp,Number of speeds,Horse Power,Fuel tank capacity,City,Highway,Total Seating Capacity,Overall height,Overall Length,Overall Width,Wheelbase,Recommended fuel,img,model,year
2023 Porsche 911 - Carrera 4S AWD 2dr Coupe,130300.0,8.0,443.0,17.6,18.0,23.0,4.0,51.1,177.9,72.9,96.5,3.0,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103116.jpg,2023 Porsche 911,2023
2023 Porsche 911 - Carrera 4 GTS AWD 2dr Coupe,149900.0,8.0,473.0,17.6,17.0,23.0,4.0,50.9,178.5,72.9,96.5,3.0,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103117.jpg,2023 Porsche 911,2023
2023 Porsche 911 - Carrera 4 AWD Cabriolet,126200.0,8.0,379.0,17.6,18.0,24.0,4.0,51.1,177.9,72.9,96.5,3.0,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103118.jpg,2023 Porsche 911,2023
2023 Porsche 911 - Carrera 4S AWD Cabriolet,143100.0,8.0,443.0,17.6,18.0,23.0,4.0,51.1,177.9,72.9,96.5,3.0,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103119.jpg,2023 Porsche 911,2023
2023 Porsche 911 - Carrera 4 GTS AWD Cabriolet,162700.0,8.0,473.0,17.6,17.0,22.0,4.0,50.8,178.5,72.9,96.5,3.0,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103120.jpg,2023 Porsche 911,2023
2023 Porsche 911 - GT3 RWD 2dr Coupe,169700.0,7.0,502.0,16.9,15.0,18.0,2.0,50.4,180.0,72.9,96.7,3.0,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103121.jpg,2023 Porsche 911,2023
2023 Porsche 911 - GT3 w/Touring Package RWD 2dr Coupe,169700.0,6.0,502.0,16.9,14.0,18.0,2.0,50.4,180.0,72.9,96.7,3.0,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103122.jpg,2023 Porsche 911,2023
2023 Porsche 911 - Targa 4 AWD 2dr Coupe,126200.0,8.0,379.0,17.6,18.0,24.0,4.0,51.1,177.9,72.9,96.5,3.0,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103124.jpg,2023 Porsche 911,2023
2023 Porsche 911 - Targa 4S AWD 2dr Coupe,143100.0,8.0,443.0,17.6,18.0,23.0,4.0,51.2,177.9,72.9,96.5,3.0,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103125.jpg,2023 Porsche 911,2023
2023 Porsche 911 - Targa 4 GTS AWD 2dr Coupe,162700.0,8.0,473.0,17.6,17.0,22.0,4.0,51.1,177.9,72.9,96.5,3.0,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103126.jpg,2023 Porsche 911,2023
2022 Porsche 911 - Turbo AWD Coupe,174300.0,8.0,572.0,17.6,15.0,20.0,4.0,51.3,178.6,74.9,96.5,3.0,img.autobytel.com/2022/porsche/911/2-550-oem-exterior-front1300-97545.jpg,2022 Porsche 911,2022
2022 Porsche 911 - Turbo S AWD Coupe,207000.0,8.0,640.0,17.6,15.0,20.0,4.0,51.3,178.6,74.9,96.5,3.0,img.autobytel.com/2022/porsche/911/2-550-oem-exterior-front1300-97546.jpg,2022 Porsche 911,2022
2022 Porsche 911 - Turbo AWD Cabriolet,187100.0,8.0,572.0,17.6,15.0,20.0,4.0,51.3,178.6,74.9,96.5,3.0,img.autobytel.com/2022/porsche/911/2-550-oem-exterior-front1300-97547.jpg,2022 Porsche 911,2022
2022 Porsche 911 - Turbo S AWD Cabriolet,219800.0,8.0,640.0,17.6,15.0,20.0,4.0,51.3,178.6,74.9,96.5,3.0,img.autobytel.com/2022/porsche/911/2-550-oem-exterior-front1300-97548.jpg,2022 Porsche 911,2022
2022 Porsche 911 - Carrera RWD Coupe,101200.0,8.0,379.0,16.9,18.0,24.0,4.0,51.1,177.9,72.9,96.5,3.0,img.autobytel.com/2022/porsche/911/2-550-oem-exterior-front1300-97549.jpg,2022 Porsche 911,2022
2022 Porsche 911 - Carrera S RWD Coupe,117100.0,8.0,443.0,16.9,18.0,23.0,4.0,51.1,177.9,72.9,96.5,3.0,img.autobytel.com/2022/porsche/911/2-550-oem-exterior-front1300-97550.jpg,2022 Porsche 911,2022
2022 Porsche 911 - RWD Cabriolet,114000.0,8.0,379.0,16.9,18.0,24.0,4.0,51.1,177.9,72.9,96.5,3.0,img.autobytel.com/2022/porsche/911/2-550-oem-exterior-front1300-97551.jpg,2022 Porsche 911,2022
