,msrp,Number of speeds,Horse Power,Fuel tank capacity,City,Highway,Total Seating Capacity,Overall height,Overall Length,Overall Width,Wheelbase,Recommended fuel,img,model,year
2015 Porsche 911 - Targa 4 (M7) AWD Coupe,101600.0,7.0,350.0,18.0,18.0,26.0,4.0,51.1,176.8,72.9,96.5,3.0,img.autobytel.com/2015/porsche/911/2-550-oemexteriorfront1300-74228.jpg,2015 Porsche 911,2015
2015 Porsche 911 - Targa 4S (M7) AWD Coupe,116200.0,7.0,400.0,18.0,18.0,26.0,4.0,50.8,176.8,72.9,96.5,3.0,img.autobytel.com/2015/porsche/911/2-550-threequartersview101-74229.jpg,2015 Porsche 911,2015
2015 Porsche 911 - Turbo (PDK) AWD Coupe,151100.0,7.0,520.0,18.0,17.0,24.0,4.0,51.0,177.4,74.0,96.5,3.0,img.autobytel.com/2015/porsche/911/2-550-threequartersview101-74502.jpg,2015 Porsche 911,2015
2015 Porsche 911 - Turbo S (PDK) AWD Coupe,182700.0,7.0,560.0,18.0,17.0,24.0,4.0,51.0,177.4,74.0,96.5,3.0,img.autobytel.com/2015/porsche/911/2-550-oemexteriorfront1300-74503.jpg,2015 Porsche 911,2015
2015 Porsche 911 - Carrera (M7) RWD Coupe,84300.0,7.0,350.0,16.9,19.0,27.0,4.0,51.3,176.8,71.2,96.5,3.0,img.autobytel.com/2015/porsche/911/2-550-oemexteriorfront1300-74754.jpg,2015 Porsche 911,2015
2015 Porsche 911 - Carrera S (M7) RWD Coupe,98900.0,7.0,400.0,16.9,19.0,27.0,4.0,51.0,176.8,71.2,96.5,3.0,img.autobytel.com/2015/porsche/911/2-550-oemexteriorfront1300-74755.jpg,2015 Porsche 911,2015
2015 Porsche 911 - RWD Cabriolet,96200.0,7.0,350.0,16.9,19.0,27.0,4.0,51.3,176.8,71.2,96.5,3.0,img.autobytel.com/2015/porsche/911/2-550-threequartersview101-74756.jpg,2015 Porsche 911,2015
2015 Porsche 911 - S RWD Cabriolet,110800.0,7.0,400.0,16.9,19.0,27.0,4.0,51.0,176.8,71.2,96.5,3.0,img.autobytel.com/2015/porsche/911/2-550-threequartersview101-74757.jpg,2015 Porsche 911,2015
2015 Porsche 911 - Carrera 4 (M7) AWD Coupe,91030.0,7.0,350.0,18.0,19.0,27.0,4.0,51.3,176.8,72.9,96.5,3.0,img.autobytel.com/2015/porsche/911/2-550-oemexteriorfront1300-74758.jpg,2015 Porsche 911,2015
2015 Porsche 911 - Carrera 4S (M7) AWD Coupe,105630.0,7.0,400.0,18.0,18.0,26.0,4.0,51.0,176.8,72.9,96.5,3.0,img.autobytel.com/2015/porsche/911/2-550-threequartersview101-74759.jpg,2015 Porsche 911,2015
2015 Porsche 911 - Carrera 4 (M7) AWD Cabriolet,102930.0,7.0,350.0,18.0,19.0,26.0,4.0,51.1,176.8,72.9,96.5,3.0,img.autobytel.com/2015/porsche/911/2-550-oemexteriorfront1300-74760.jpg,2015 Porsche 911,2015
2015 Porsche 911 - Carrera 4S (M7) AWD Cabriolet,117530.0,7.0,400.0,18.0,18.0,26.0,4.0,50.9,176.8,72.9,96.5,3.0,img.autobytel.com/2015/porsche/911/2-550-threequartersview101-74761.jpg,2015 Porsche 911,2015
2015 Porsche 911 - Carrera GTS (M7) RWD Coupe,114200.0,7.0,430.0,16.9,18.0,26.0,4.0,51.0,177.5,72.9,96.5,3.0,img.autobytel.com/2015/porsche/911/2-550-oemexteriorfront1300-77019.jpg,2015 Porsche 911,2015
2015 Porsche 911 - GTS RWD Cabriolet,126100.0,7.0,430.0,16.9,18.0,25.0,4.0,50.9,177.5,72.9,96.5,3.0,img.autobytel.com/2015/porsche/911/2-550-oemexteriorfront1300-77020.jpg,2015 Porsche 911,2015
2015 Porsche 911 - Carrera 4 GTS (M7) AWD Coupe,120900.0,7.0,430.0,18.0,18.0,26.0,4.0,51.0,177.5,72.9,96.5,3.0,img.autobytel.com/2015/porsche/911/2-550-oemexteriorfront1300-77021.jpg,2015 Porsche 911,2015
2015 Porsche 911 - Carrera 4 GTS (M7) AWD Cabriolet,132800.0,7.0,430.0,18.0,18.0,25.0,4.0,50.9,177.5,72.9,96.5,3.0,img.autobytel.com/2015/porsche/911/2-550-threequartersview101-77022.jpg,2015 Porsche 911,2015
2014 Porsche 911 - Carrera (M7) RWD Coupe,84300.0,7.0,350.0,16.9,19.0,27.0,4.0,51.3,176.8,71.2,96.5,3.0,img.autobytel.com/2014/porsche/911/2-550-oemexteriorfront-72697.jpg,2014 Porsche 911,2014
2014 Porsche 911 - Carrera S (M7) RWD Coupe,98900.0,7.0,400.0,16.9,19.0,27.0,4.0,51.0,176.8,71.2,96.5,3.0,img.autobytel.com/2014/porsche/911/2-550-oemexteriorfront-72698.jpg,2014 Porsche 911,2014
2014 Porsche 911 - RWD Cabriolet,96200.0,7.0,350.0,16.9,19.0,27.0,4.0,51.3,176.8,71.2,96.5,3.0,img.autobytel.com/2014/porsche/911/2-550-threequartersview101-72699.jpg,2014 Porsche 911,2014
2014 Porsche 911 - S RWD Cabriolet,110800.0,7.0,400.0,16.9,19.0,27.0,4.0,51.0,176.8,71.2,96.5,3.0,img.autobytel.com/2014/porsche/911/2-550-threequartersview101-72700.jpg,2014 Porsche 911,2014
2014 Porsche 911 - Turbo (PDK) AWD Coupe,148300.0,7.0,520.0,18.0,17.0,24.0,4.0,51.0,177.4,74.0,96.5,3.0,img.autobytel.com/2014/porsche/911/2-550-threequartersview101-72859.jpg,2014 Porsche 911,2014
2014 Porsche 911 - Turbo S (PDK) AWD Coupe,181100.0,7.0,560.0,18.0,17.0,24.0,4.0,51.0,177.4,74.0,96.5,3.0,img.autobytel.com/2014/porsche/911/2-550-oemexteriorfront-72860.jpg,2014 Porsche 911,2014
2014 Porsche 911 - Carrera 4 (M7) AWD Coupe,91030.0,7.0,350.0,18.0,19.0,27.0,4.0,51.3,176.8,72.9,96.5,3.0,img.autobytel.com/2014/porsche/911/2-550-oemexteriorfront-72861.jpg,2014 Porsche 911,2014
2014 Porsche 911 - Carrera 4S (M7) AWD Coupe,105630.0,7.0,400.0,18.0,18.0,26.0,4.0,51.0,176.8,72.9,96.5,3.0,img.autobytel.com/2014/porsche/911/2-550-threequartersview-72862.jpg,2014 Porsche 911,2014
2014 Porsche 911 - Carrera 4 (M7) AWD Cabriolet,102930.0,7.0,350.0,18.0,19.0,26.0,4.0,51.1,176.8,72.9,96.5,3.0,img.autobytel.com/2014/porsche/911/2-550-oemexteriorfront-72863.jpg,2014 Porsche 911,2014
2014 Porsche 911 - Carrera 4S (M7) AWD Cabriolet,117530.0,7.0,400.0,18.0,18.0,26.0,4.0,50.9,176.8,72.9,96.5,3.0,img.autobytel.com/2014/porsche/911/2-550-threequartersview101-72864.jpg,2014 Porsche 911,2014
2014 Porsche 911 - GT3 (PDK) RWD Coupe,130400.0,7.0,475.0,16.9,15.0,20.0,2.0,50.0,178.9,72.9,96.7,3.0,img.autobytel.com/2014/porsche/911/2-550-oemexteriorfront-72865.jpg,2014 Porsche 911,2014
2014 Porsche 911 - Turbo (PDK) AWD Cabriolet,160700.0,7.0,520.0,18.0,17.0,24.0,4.0,50.9,177.4,74.0,96.5,3.0,img.autobytel.com/2014/porsche/911/2-550-threequartersview101-73508.jpg,2014 Porsche 911,2014
2014 Porsche 911 - Turbo S (PDK) AWD Cabriolet,193900.0,7.0,560.0,18.0,17.0,24.0,4.0,50.9,177.4,74.0,96.5,3.0,img.autobytel.com/2014/porsche/911/2-550-threequartersview101-73509.jpg,2014 Porsche 911,2014
2014 Porsche 911 - Targa 4 (M7) AWD Coupe,101600.0,7.0,350.0,18.0,18.0,26.0,4.0,51.1,176.8,72.9,96.5,3.0,img.autobytel.com/2014/porsche/911/2-550-oemexteriorfront1300-73720.jpg,2014 Porsche 911,2014
2014 Porsche 911 - Targa 4S (M7) AWD Coupe,116200.0,7.0,400.0,18.0,18.0,26.0,4.0,50.8,176.8,72.9,96.5,3.0,img.autobytel.com/2014/porsche/911/2-550-threequartersview101-73721.jpg,2014 Porsche 911,2014
2013 Porsche 911 - Turbo (M6) AWD Coupe,137500.0,6.0,500.0,16.9,16.0,24.0,4.0,51.2,176.3,72.9,92.5,3.0,img.autobytel.com/2013/porsche/911/2-550-oemexteriorfront-69355.jpg,2013 Porsche 911,2013
2013 Porsche 911 - Turbo S (PDK) AWD Coupe,160700.0,7.0,530.0,17.7,17.0,25.0,4.0,51.2,176.3,72.9,92.5,3.0,img.autobytel.com/2013/porsche/911/2-550-oemexteriorfront-69356.jpg,2013 Porsche 911,2013
2013 Porsche 911 - Edition 918 Spyder (PDK) AWD Coupe,160700.0,7.0,530.0,17.7,17.0,25.0,4.0,51.2,176.3,72.9,92.5,3.0,img.autobytel.com/2013/porsche/911/2-550-oemexteriorfront-69357.jpg,2013 Porsche 911,2013
2013 Porsche 911 - Turbo (M6) AWD Cabriolet,149000.0,6.0,500.0,17.7,16.0,24.0,4.0,51.2,176.3,72.9,92.5,3.0,img.autobytel.com/2013/porsche/911/2-550-oemexteriorfront-69358.jpg,2013 Porsche 911,2013
2013 Porsche 911 - Turbo S (PDK) AWD Cabriolet,172100.0,7.0,530.0,17.7,16.0,24.0,4.0,51.2,176.3,72.9,92.5,3.0,img.autobytel.com/2013/porsche/911/2-550-oemexteriorfront-69359.jpg,2013 Porsche 911,2013
2013 Porsche 911 - Edition 918 Spyder (PDK) AWD Cabriolet,172100.0,7.0,530.0,17.7,16.0,24.0,4.0,51.2,176.3,72.9,92.5,3.0,img.autobytel.com/2013/porsche/911/2-550-oemexteriorfront-69360.jpg,2013 Porsche 911,2013
2013 Porsche 911 - RWD Coupe,84300.0,7.0,350.0,16.9,19.0,27.0,4.0,51.3,176.8,71.2,96.5,3.0,img.autobytel.com/2013/porsche/911/2-550-oemexteriorfront-69361.jpg,2013 Porsche 911,2013
2013 Porsche 911 - S RWD Coupe,98900.0,7.0,400.0,16.9,19.0,27.0,4.0,51.0,176.8,71.2,96.5,3.0,img.autobytel.com/2013/porsche/911/2-550-oemexteriorfront-69362.jpg,2013 Porsche 911,2013
2013 Porsche 911 - RWD Cabriolet,96200.0,7.0,350.0,16.9,19.0,27.0,4.0,51.3,176.8,71.2,96.5,3.0,img.autobytel.com/2013/porsche/911/2-550-oemexteriorfront-69363.jpg,2013 Porsche 911,2013
2013 Porsche 911 - S RWD Cabriolet,110800.0,7.0,400.0,16.9,19.0,27.0,4.0,51.0,176.8,71.2,96.5,3.0,img.autobytel.com/2013/porsche/911/2-550-oemexteriorfront-69364.jpg,2013 Porsche 911,2013
2013 Porsche 911 - Carrera 4 (M7) AWD Coupe,91030.0,7.0,350.0,18.0,19.0,27.0,4.0,51.3,176.8,72.9,96.5,3.0,img.autobytel.com/2013/porsche/911/2-550-oemexteriorfront-70929.jpg,2013 Porsche 911,2013
2013 Porsche 911 - Carrera 4S (M7) AWD Coupe,105630.0,7.0,400.0,18.0,18.0,26.0,4.0,51.0,176.8,72.9,96.5,3.0,img.autobytel.com/2013/porsche/911/2-550-threequartersview101-70930.jpg,2013 Porsche 911,2013
2013 Porsche 911 - Carrera 4 (M7) AWD Cabriolet,102930.0,7.0,350.0,18.0,19.0,26.0,4.0,51.1,176.8,72.9,96.5,3.0,img.autobytel.com/2013/porsche/911/2-550-oemexteriorfront-70931.jpg,2013 Porsche 911,2013
2013 Porsche 911 - Carrera 4S (M7) AWD Cabriolet,117530.0,7.0,400.0,18.0,18.0,26.0,4.0,50.9,176.8,72.9,96.5,3.0,img.autobytel.com/2013/porsche/911/2-550-threequartersview-70932.jpg,2013 Porsche 911,2013
2012 Porsche 911 - Carrera GTS RWD Coupe,103100.0,6.0,408.0,16.9,18.0,25.0,4.0,51.2,174.6,72.9,92.5,3.0,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront-66230.jpg,2012 Porsche 911,2012
2012 Porsche 911 - Turbo (M6) AWD Coupe,137500.0,6.0,500.0,16.9,16.0,24.0,4.0,51.2,176.3,72.9,92.5,3.0,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront-67491.jpg,2012 Porsche 911,2012
2012 Porsche 911 - Turbo S (PDK) AWD Coupe,160700.0,7.0,530.0,17.7,17.0,25.0,4.0,51.2,176.3,72.9,92.5,3.0,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront-67492.jpg,2012 Porsche 911,2012
2012 Porsche 911 - Turbo (M6) AWD Cabriolet,149000.0,6.0,500.0,17.7,16.0,24.0,4.0,51.2,176.3,72.9,92.5,3.0,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront-67493.jpg,2012 Porsche 911,2012
2012 Porsche 911 - Turbo S (PDK) AWD Cabriolet,172100.0,7.0,530.0,17.7,16.0,24.0,4.0,51.2,176.3,72.9,92.5,3.0,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront-67494.jpg,2012 Porsche 911,2012
2012 Porsche 911 - Carrera 4S (M6) AWD Coupe,98300.0,6.0,385.0,17.7,18.0,25.0,4.0,51.2,175.6,72.9,92.5,3.0,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront1300-67495.jpg,2012 Porsche 911,2012
2012 Porsche 911 - Carrera 4S (M6) AWD Cabriolet,109400.0,6.0,385.0,17.7,17.0,25.0,4.0,51.2,175.6,72.9,92.5,3.0,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront-67496.jpg,2012 Porsche 911,2012
2012 Porsche 911 - Carrera (M6) RWD Coupe,79000.0,6.0,345.0,16.9,18.0,25.0,4.0,51.6,175.6,71.2,92.5,3.0,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront-67497.jpg,2012 Porsche 911,2012
2012 Porsche 911 - Black Edition (M6) RWD Coupe,81300.0,6.0,345.0,16.9,18.0,25.0,4.0,51.6,175.6,71.2,92.5,3.0,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront-67498.jpg,2012 Porsche 911,2012
2012 Porsche 911 - Carrera (M6) RWD Cabriolet,90100.0,6.0,345.0,16.9,18.0,26.0,4.0,51.6,175.6,71.2,92.5,3.0,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront-67499.jpg,2012 Porsche 911,2012
2012 Porsche 911 - Black Edition (M6) RWD Cabriolet,91300.0,6.0,345.0,16.9,18.0,26.0,4.0,51.6,175.6,71.2,92.5,3.0,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront-67500.jpg,2012 Porsche 911,2012
2012 Porsche 911 - Carrera S (M6) RWD Coupe,91900.0,6.0,385.0,16.9,18.0,25.0,4.0,51.2,175.6,71.2,92.5,3.0,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront-67501.jpg,2012 Porsche 911,2012
2012 Porsche 911 - Carrera S (M6) RWD Cabriolet,103000.0,6.0,385.0,16.9,18.0,26.0,4.0,51.2,175.6,71.2,92.5,3.0,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront-67502.jpg,2012 Porsche 911,2012
2012 Porsche 911 - Carrera 4 (M6) AWD Coupe,85400.0,6.0,345.0,17.7,18.0,24.0,4.0,51.6,175.6,72.9,92.5,3.0,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront-67503.jpg,2012 Porsche 911,2012
2012 Porsche 911 - Targa 4 (M6) AWD Coupe,93500.0,6.0,345.0,17.7,18.0,25.0,4.0,51.6,175.8,72.9,92.5,3.0,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront-67505.jpg,2012 Porsche 911,2012
2012 Porsche 911 - Targa 4S (M6) AWD Coupe,106400.0,6.0,385.0,17.7,17.0,25.0,4.0,51.2,175.8,72.9,92.5,3.0,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront-67506.jpg,2012 Porsche 911,2012
2012 Porsche 911 - Carrera 4 GTS AWD Coupe,110200.0,6.0,408.0,16.9,18.0,25.0,4.0,51.2,174.6,72.9,92.5,3.0,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront-67507.jpg,2012 Porsche 911,2012
2012 Porsche 911 - Carrera (M7) RWD Coupe,82100.0,7.0,350.0,16.9,19.0,27.0,4.0,51.3,176.8,71.2,96.5,3.0,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront-68038.jpg,2012 Porsche 911,2012
2012 Porsche 911 - Carrera S (M7) RWD Coupe,96400.0,7.0,400.0,16.9,19.0,27.0,4.0,51.0,176.8,71.2,96.5,3.0,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront-68039.jpg,2012 Porsche 911,2012
2012 Porsche 911 - Carrera (M7) RWD Cabriolet,93700.0,7.0,350.0,16.9,19.0,27.0,4.0,51.3,176.8,71.2,96.5,3.0,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront-68107.jpg,2012 Porsche 911,2012
2012 Porsche 911 - Carrera S (M7) RWD Cabriolet,108000.0,7.0,400.0,16.9,19.0,27.0,4.0,51.0,176.8,71.2,96.5,3.0,img.autobytel.com/2012/porsche/911/2-550-oemexteriorfront-68108.jpg,2012 Porsche 911,2012
2011 Porsche 911 - Turbo (M6) AWD Coupe,135500.0,6.0,500.0,16.9,16.0,24.0,4.0,51.2,176.3,72.9,92.5,3.0,img.autobytel.com/2011/porsche/911/2-550-oemexteriorfront-64886.jpg,2011 Porsche 911,2011
2011 Porsche 911 - Turbo S (PDK) AWD Coupe,160700.0,7.0,530.0,17.7,17.0,25.0,4.0,51.2,176.3,72.9,92.5,3.0,img.autobytel.com/2011/porsche/911/2-550-oemexteriorfront-64887.jpg,2011 Porsche 911,2011
2011 Porsche 911 - GT3 (M6) RWD Coupe,115700.0,6.0,435.0,17.7,14.0,21.0,2.0,50.4,175.8,71.2,92.7,3.0,img.autobytel.com/2011/porsche/911/2-550-oemexteriorfront-64922.jpg,2011 Porsche 911,2011
2011 Porsche 911 - GT3 RS (M6) RWD Coupe,135500.0,6.0,450.0,17.7,14.0,21.0,2.0,50.4,176.8,72.9,92.7,3.0,img.autobytel.com/2011/porsche/911/2-550-oemexteriorfront-64923.jpg,2011 Porsche 911,2011
2011 Porsche 911 - Carrera 4S (M6) AWD Coupe,96800.0,6.0,385.0,17.7,18.0,25.0,4.0,51.2,175.6,72.9,92.5,3.0,img.autobytel.com/2011/porsche/911/2-550-oemexteriorfront-65548.jpg,2011 Porsche 911,2011
2011 Porsche 911 - Carrera (M6) RWD Coupe,77800.0,6.0,345.0,16.9,18.0,25.0,4.0,51.6,175.6,71.2,92.5,3.0,img.autobytel.com/2011/porsche/911/2-550-oemexteriorfront-65549.jpg,2011 Porsche 911,2011
2011 Porsche 911 - Carrera S (M6) RWD Coupe,90500.0,6.0,385.0,16.9,18.0,25.0,4.0,51.2,175.6,71.2,92.5,3.0,img.autobytel.com/2011/porsche/911/2-550-oemexteriorfront-65550.jpg,2011 Porsche 911,2011
2011 Porsche 911 - Carrera 4 (M6) AWD Coupe,84100.0,6.0,345.0,17.7,18.0,24.0,4.0,51.6,175.6,72.9,92.5,3.0,img.autobytel.com/2011/porsche/911/2-550-oemexteriorfront-65551.jpg,2011 Porsche 911,2011
2011 Porsche 911 - Targa 4 (M6) AWD Coupe,92100.0,6.0,345.0,17.7,18.0,25.0,4.0,51.6,175.8,72.9,92.5,3.0,img.autobytel.com/2011/porsche/911/2-550-oemexteriorfront-65552.jpg,2011 Porsche 911,2011
2011 Porsche 911 - Targa 4S (M6) AWD Coupe,104800.0,6.0,385.0,17.7,17.0,25.0,4.0,51.2,175.8,72.9,92.5,3.0,img.autobytel.com/2011/porsche/911/2-550-oemexteriorfront-65553.jpg,2011 Porsche 911,2011
2011 Porsche 911 - Carrera 4S (M6) AWD Cabriolet,107800.0,6.0,385.0,17.7,17.0,25.0,4.0,51.2,175.6,72.9,92.5,3.0,img.autobytel.com/2011/porsche/911/2-550-oemexteriorfront-65634.jpg,2011 Porsche 911,2011
2011 Porsche 911 - Carrera (M6) RWD Cabriolet,88800.0,6.0,345.0,16.9,18.0,26.0,4.0,51.6,175.6,71.2,92.5,3.0,img.autobytel.com/2011/porsche/911/2-550-oemexteriorfront-65635.jpg,2011 Porsche 911,2011
2011 Porsche 911 - Carrera S (M6) RWD Cabriolet,101500.0,6.0,385.0,16.9,18.0,26.0,4.0,51.2,175.6,71.2,92.5,3.0,img.autobytel.com/2011/porsche/911/2-550-oemexteriorfront-65636.jpg,2011 Porsche 911,2011
2011 Porsche 911 - Carrera GTS RWD Coupe,103100.0,6.0,408.0,16.9,18.0,25.0,4.0,51.2,174.6,72.9,92.5,3.0,img.autobytel.com/2011/porsche/911/2-550-oemexteriorfront-69643.jpg,2011 Porsche 911,2011
2011 Porsche 911 - Carrera GTS RWD Cabriolet,112900.0,6.0,408.0,16.9,18.0,26.0,4.0,51.2,174.6,72.9,92.5,3.0,img.autobytel.com/2011/porsche/911/2-550-oemexteriorfront-69644.jpg,2011 Porsche 911,2011
2011 Porsche 911 - GT3 RS 4.0 (M6) RWD Coupe,185000.0,6.0,500.0,17.7,13.0,19.0,2.0,50.4,175.6,72.9,92.7,3.0,img.autobytel.com/2011/porsche/911/2-550-oemexteriorfront1300-70502.jpg,2011 Porsche 911,2011
2010 Porsche 911 - Carrera 4S AWD Coupe,95100.0,6.0,385.0,17.7,18.0,25.0,4.0,51.2,175.6,72.9,92.5,3.0,img.autobytel.com/2010/porsche/911/2-550-oemexteriorfront-61977.jpg,2010 Porsche 911,2010
2010 Porsche 911 - Carrera 4S AWD Cabriolet,106100.0,6.0,385.0,17.7,18.0,25.0,4.0,51.2,175.6,72.9,92.5,3.0,img.autobytel.com/2010/porsche/911/2-550-oemexteriorfront-61978.jpg,2010 Porsche 911,2010
2010 Porsche 911 - Carrera S RWD Coupe,88800.0,6.0,385.0,16.9,18.0,25.0,4.0,51.2,175.6,71.2,92.5,3.0,img.autobytel.com/2010/porsche/911/2-550-oemexteriorfront-61981.jpg,2010 Porsche 911,2010
2010 Porsche 911 - GT3 RWD Coupe,112200.0,6.0,435.0,17.7,14.0,21.0,2.0,50.4,176.4,71.2,92.7,3.0,img.autobytel.com/2010/porsche/911/2-550-oemexteriorfront-61982.jpg,2010 Porsche 911,2010
2010 Porsche 911 - S RWD Cabriolet,99800.0,6.0,385.0,16.9,18.0,25.0,4.0,51.2,175.6,71.2,92.5,3.0,img.autobytel.com/2010/porsche/911/2-550-oemexteriorfront-61983.jpg,2010 Porsche 911,2010
2010 Porsche 911 - Carrera 4 AWD Coupe,84100.0,6.0,345.0,17.7,18.0,25.0,4.0,51.6,175.6,72.9,92.5,3.0,img.autobytel.com/2010/porsche/911/2-550-oemexteriorfront-61984.jpg,2010 Porsche 911,2010
2010 Porsche 911 - Carrera 4 AWD Cabriolet,95100.0,6.0,345.0,17.7,18.0,25.0,4.0,51.6,175.6,72.9,92.5,3.0,img.autobytel.com/2010/porsche/911/2-550-oemexteriorfront-61985.jpg,2010 Porsche 911,2010
2010 Porsche 911 - Turbo AWD Coupe,132800.0,6.0,500.0,17.7,16.0,24.0,4.0,51.2,176.3,72.9,92.5,3.0,img.autobytel.com/2010/porsche/911/2-550-oemexteriorfront-63329.jpg,2010 Porsche 911,2010
2010 Porsche 911 - Targa 4 AWD Coupe,92100.0,6.0,345.0,17.7,18.0,25.0,4.0,51.6,175.6,72.9,92.5,3.0,img.autobytel.com/2010/porsche/911/2-550-oemexteriorfront-63331.jpg,2010 Porsche 911,2010
2010 Porsche 911 - Targa 4S AWD Coupe,103100.0,6.0,385.0,17.7,17.0,25.0,4.0,51.2,175.6,72.9,92.5,3.0,img.autobytel.com/2010/porsche/911/2-550-oemexteriorfront-63332.jpg,2010 Porsche 911,2010
2010 Porsche 911 - GT3 RS RWD Coupe,132800.0,6.0,450.0,17.7,14.0,20.0,2.0,50.4,176.8,72.9,92.7,3.0,img.autobytel.com/550-no-img-avail.jpg,2010 Porsche 911,2010
2009 Porsche 911 - Turbo AWD Cabriolet,139300.0,6.0,480.0,17.7,15.0,24.0,4.0,51.2,176.3,72.9,92.5,3.0,img.autobytel.com/2009/porsche/911/2-550-oemexteriorfront-51817.jpg,2009 Porsche 911,2009
2009 Porsche 911 - Turbo (M6) AWD Coupe,128700.0,6.0,480.0,17.7,16.0,23.0,4.0,51.2,176.3,72.9,92.5,3.0,img.autobytel.com/2009/porsche/911/2-550-oemexteriorfront-51818.jpg,2009 Porsche 911,2009
2008 Porsche 911 - Carrera 4 AWD Cabriolet,89700.0,6.0,325.0,17.7,18.0,26.0,4.0,51.6,175.6,72.9,92.5,3.0,img.autobytel.com/2008/porsche/911/2-550-oemexteriorfront-48028.jpg,2008 Porsche 911,2008
2008 Porsche 911 - Carrera 4 (M6) AWD Coupe,79400.0,6.0,325.0,17.7,18.0,26.0,4.0,51.6,175.6,72.9,92.5,3.0,img.autobytel.com/2008/porsche/911/2-550-oemexteriorfront-48029.jpg,2008 Porsche 911,2008
2008 Porsche 911 - Carrera 4S AWD Cabriolet,100000.0,6.0,355.0,17.7,17.0,25.0,4.0,51.2,175.6,72.9,92.5,3.0,img.autobytel.com/2008/porsche/911/2-550-oemexteriorfront-48030.jpg,2008 Porsche 911,2008
2008 Porsche 911 - Carrera 4S (M6) AWD Coupe,89700.0,6.0,355.0,17.7,17.0,25.0,4.0,51.2,175.6,72.9,92.5,3.0,img.autobytel.com/2008/porsche/911/2-550-oemexteriorfront-48031.jpg,2008 Porsche 911,2008
2008 Porsche 911 - RWD Cabriolet,83800.0,6.0,325.0,16.9,18.0,26.0,4.0,51.6,175.6,71.2,92.5,3.0,img.autobytel.com/2008/porsche/911/2-550-oemexteriorfront-48032.jpg,2008 Porsche 911,2008
2008 Porsche 911 - Carrera RWD Coupe,73500.0,6.0,325.0,16.9,18.0,26.0,4.0,51.6,175.6,71.2,92.5,3.0,img.autobytel.com/2008/porsche/911/2-550-oemexteriorfront-48033.jpg,2008 Porsche 911,2008
2008 Porsche 911 - S RWD Cabriolet,94100.0,6.0,355.0,16.9,17.0,25.0,4.0,51.2,175.6,71.2,92.5,3.0,img.autobytel.com/2008/porsche/911/2-550-oemexteriorfront-48034.jpg,2008 Porsche 911,2008
2008 Porsche 911 - Carrera S RWD Coupe,83800.0,6.0,355.0,16.9,17.0,25.0,4.0,51.2,175.6,71.2,92.5,3.0,img.autobytel.com/2008/porsche/911/2-550-oemexteriorfront-48035.jpg,2008 Porsche 911,2008
2008 Porsche 911 - Targa 4 AWD Coupe,87000.0,6.0,325.0,17.7,17.0,25.0,4.0,51.6,175.6,72.9,92.5,3.0,img.autobytel.com/2008/porsche/911/2-550-oemexteriorfront-48063.jpg,2008 Porsche 911,2008
2008 Porsche 911 - Targa 4S AWD Coupe,97300.0,6.0,355.0,17.7,16.0,24.0,4.0,51.2,175.6,72.9,92.5,3.0,img.autobytel.com/2008/porsche/911/2-550-oemexteriorfront-48064.jpg,2008 Porsche 911,2008
2008 Porsche 911 - Turbo AWD Cabriolet,136500.0,6.0,480.0,17.7,15.0,24.0,4.0,51.2,176.3,72.9,92.5,3.0,img.autobytel.com/2008/porsche/911/2-550-oemexteriorfront-48065.jpg,2008 Porsche 911,2008
2008 Porsche 911 - Turbo (M6) AWD Coupe,126200.0,6.0,480.0,17.7,16.0,23.0,4.0,51.2,176.3,72.9,92.5,3.0,img.autobytel.com/2008/porsche/911/2-550-oemexteriorfront-48066.jpg,2008 Porsche 911,2008
2008 Porsche 911 - GT3 RWD Coupe,107500.0,6.0,415.0,16.9,15.0,22.0,2.0,50.4,176.4,71.2,92.7,3.0,img.autobytel.com/2008/porsche/911/2-550-oemexteriorfront-60914.jpg,2008 Porsche 911,2008
2008 Porsche 911 - RS RWD Coupe,124900.0,6.0,415.0,17.7,15.0,22.0,2.0,50.4,176.9,72.9,92.9,3.0,img.autobytel.com/2008/porsche/911/2-550-oemexteriorfront-60915.jpg,2008 Porsche 911,2008
