,img,msrp,model,Number of speeds,Horse Power,Fuel tank capacity,City,Highway,Total Seating Capacity,Recommended fuel,Overall height,Overall Length,Overall Width,Wheelbase
2023 Porsche 911 - Carrera GTS RWD 2dr Coupe,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103110.jpg,"142,600",2023 Porsche 911,8,473,16.9,17,23,4,Premium Unleaded,50.9,178.5,72.9,96.5
2023 Porsche 911 - Sport Classic RWD 2dr Coupe,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103111.jpg,"272,300",2023 Porsche 911,7,543,17.6,15,21,4,Premium Unleaded,51.2,178.6,74.9,96.5
2023 Porsche 911 - RWD Cabriolet,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103112.jpg,"118,900",2023 Porsche 911,8,379,16.9,18,24,4,Premium Unleaded,51.1,177.9,72.9,96.5
2023 Porsche 911 - S RWD Cabriolet,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103113.jpg,"135,800",2023 Porsche 911,8,443,16.9,18,23,4,Premium Unleaded,51.1,177.9,72.9,96.5
2023 Porsche 911 - GTS RWD Cabriolet,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103114.jpg,"155,400",2023 Porsche 911,8,473,16.9,17,23,4,Premium Unleaded,50.8,178.5,72.9,96.5
2023 Porsche 911 - Carrera 4 AWD 2dr Coupe,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103115.jpg,"113,400",2023 Porsche 911,8,379,17.6,18,24,4,Premium Unleaded,51.1,177.9,72.9,96.5
2023 Porsche 911 - Carrera 4S AWD 2dr Coupe,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103116.jpg,"130,300",2023 Porsche 911,8,443,17.6,18,23,4,Premium Unleaded,51.1,177.9,72.9,96.5
2023 Porsche 911 - Carrera 4 GTS AWD 2dr Coupe,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103117.jpg,"149,900",2023 Porsche 911,8,473,17.6,17,23,4,Premium Unleaded,50.9,178.5,72.9,96.5
2023 Porsche 911 - Carrera 4 AWD Cabriolet,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103118.jpg,"126,200",2023 Porsche 911,8,379,17.6,18,24,4,Premium Unleaded,51.1,177.9,72.9,96.5
2023 Porsche 911 - Carrera 4S AWD Cabriolet,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103119.jpg,"143,100",2023 Porsche 911,8,443,17.6,18,23,4,Premium Unleaded,51.1,177.9,72.9,96.5
2023 Porsche 911 - Carrera 4 GTS AWD Cabriolet,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103120.jpg,"162,700",2023 Porsche 911,8,473,17.6,17,22,4,Premium Unleaded,50.8,178.5,72.9,96.5
2023 Porsche 911 - GT3 RWD 2dr Coupe,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103121.jpg,"169,700",2023 Porsche 911,7,502,16.9,15,18,2,Premium Unleaded,50.4,180.0,72.9,96.7
2023 Porsche 911 - GT3 w/Touring Package RWD 2dr Coupe,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103122.jpg,"169,700",2023 Porsche 911,6,502,16.9,14,18,2,Premium Unleaded,50.4,180.0,72.9,96.7
2023 Porsche 911 - GT3 RS RWD 2dr Coupe,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-profile-right-facing1310-103123.jpg,"223,800",2023 Porsche 911,7,518,16.9,,,2,Premium Unleaded,52.1,180.0,74.8,96.7
2023 Porsche 911 - Targa 4 AWD 2dr Coupe,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103124.jpg,"126,200",2023 Porsche 911,8,379,17.6,18,24,4,Premium Unleaded,51.1,177.9,72.9,96.5
2023 Porsche 911 - Targa 4S AWD 2dr Coupe,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103125.jpg,"143,100",2023 Porsche 911,8,443,17.6,18,23,4,Premium Unleaded,51.2,177.9,72.9,96.5
2023 Porsche 911 - Targa 4 GTS AWD 2dr Coupe,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103126.jpg,"162,700",2023 Porsche 911,8,473,17.6,17,22,4,Premium Unleaded,51.1,177.9,72.9,96.5
2023 Porsche 911 - Edition 50 Years Porsche Design AWD 2dr Coupe,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103127.jpg,"186,200",2023 Porsche 911,8,473,17.6,,,4,Premium Unleaded,51.1,178.5,72.9,96.5
2023 Porsche 911 - Carrera T RWD Coupe,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103421.jpg,"116,600",2023 Porsche 911,7,379,16.9,,,2,Premium Unleaded,50.9,177.9,72.9,96.5
2023 Porsche 911 - Dakar AWD Coupe,img.autobytel.com/2023/porsche/911/2-550-oem-exterior-front1300-103617.jpg,"222,000",2023 Porsche 911,8,473,17.6,,,2,Premium Unleaded,52.7,178.6,73.4,96.5
2022 Porsche 911 - Turbo AWD Coupe,img.autobytel.com/2022/porsche/911/2-550-oem-exterior-front1300-97545.jpg,"174,300",2022 Porsche 911,8,572,17.6,15,20,4,Premium Unleaded,51.3,178.6,74.9,96.5
2022 Porsche 911 - Turbo S AWD Coupe,img.autobytel.com/2022/porsche/911/2-550-oem-exterior-front1300-97546.jpg,"207,000",2022 Porsche 911,8,640,17.6,15,20,4,Premium Unleaded,51.3,178.6,74.9,96.5
2022 Porsche 911 - Turbo AWD Cabriolet,img.autobytel.com/2022/porsche/911/2-550-oem-exterior-front1300-97547.jpg,"187,100",2022 Porsche 911,8,572,17.6,15,20,4,Premium Unleaded,51.3,178.6,74.9,96.5
2022 Porsche 911 - Turbo S AWD Cabriolet,img.autobytel.com/2022/porsche/911/2-550-oem-exterior-front1300-97548.jpg,"219,800",2022 Porsche 911,8,640,17.6,15,20,4,Premium Unleaded,51.3,178.6,74.9,96.5
2022 Porsche 911 - Carrera RWD Coupe,img.autobytel.com/2022/porsche/911/2-550-oem-exterior-front1300-97549.jpg,"101,200",2022 Porsche 911,8,379,16.9,18,24,4,Premium Unleaded,51.1,177.9,72.9,96.5
2022 Porsche 911 - Carrera S RWD Coupe,img.autobytel.com/2022/porsche/911/2-550-oem-exterior-front1300-97550.jpg,"117,100",2022 Porsche 911,8,443,16.9,18,23,4,Premium Unleaded,51.1,177.9,72.9,96.5
2022 Porsche 911 - RWD Cabriolet,img.autobytel.com/2022/porsche/911/2-550-oem-exterior-front1300-97551.jpg,"114,000",2022 Porsche 911,8,379,16.9,18,24,4,Premium Unleaded,51.1,177.9,72.9,96.5
2022 Porsche 911 - S RWD Cabriolet,img.autobytel.com/2022/porsche/911/2-550-oem-exterior-front1300-97552.jpg,"129,900",2022 Porsche 911,8,443,16.9,18,23,4,Premium Unleaded,51.1,177.9,72.9,96.5
2022 Porsche 911 - Carrera 4 AWD Coupe,img.autobytel.com/2022/porsche/911/2-550-oem-exterior-front1300-97553.jpg,"108,500",2022 Porsche 911,8,379,17.6,18,24,4,Premium Unleaded,51.1,177.9,72.9,96.5
2022 Porsche 911 - Carrera 4S AWD Coupe,img.autobytel.com/2022/porsche/911/2-550-oem-exterior-front1300-97554.jpg,"124,400",2022 Porsche 911,8,443,17.6,18,23,4,Premium Unleaded,51.1,177.9,72.9,96.5
2022 Porsche 911 - Carrera 4 AWD Cabriolet,img.autobytel.com/2022/porsche/911/2-550-oem-exterior-front1300-97555.jpg,"121,300",2022 Porsche 911,8,379,17.6,18,24,4,Premium Unleaded,51.1,177.9,72.9,96.5
2022 Porsche 911 - Carrera 4S AWD Cabriolet,img.autobytel.com/2022/porsche/911/2-550-oem-exterior-front1300-97556.jpg,"137,200",2022 Porsche 911,8,443,17.6,18,23,4,Premium Unleaded,51.1,177.9,72.9,96.5
2022 Porsche 911 - GT3 RWD Coupe,img.autobytel.com/2022/porsche/911/2-550-oem-exterior-front1300-97557.jpg,"161,100",2022 Porsche 911,7,502,16.9,15,18,2,Premium Unleaded,50.4,180.0,72.9,96.7
2022 Porsche 911 - Targa 4 AWD Coupe,img.autobytel.com/2022/porsche/911/2-550-oem-exterior-front1300-97558.jpg,"121,300",2022 Porsche 911,8,379,17.6,18,24,4,Premium Unleaded,51.1,177.9,72.9,96.5
2022 Porsche 911 - Targa 4S AWD Coupe,img.autobytel.com/2022/porsche/911/2-550-oem-exterior-front1300-97559.jpg,"137,200",2022 Porsche 911,8,443,17.6,18,23,4,Premium Unleaded,51.2,177.9,72.9,96.5
2022 Porsche 911 - Carrera GTS RWD Coupe,img.autobytel.com/2022/porsche/911/2-550-oem-exterior-front1300-98525.jpg,"136,700",2022 Porsche 911,8,473,16.9,17,23,4,Premium Unleaded,50.9,178.5,72.9,96.5
